model,mode,arm,chunk_id,ppl,kl,flip
Llama-3.3-70B-Instruct,scale,wino_fp8 body,24,7.231263,0.521721,0.282227
Llama-3.3-70B-Instruct,scale,wino_fp8 body,25,8.032376,0.165301,0.156250
Llama-3.3-70B-Instruct,scale,wino_fp8 body,26,9.113759,0.179541,0.192383
Llama-3.3-70B-Instruct,scale,wino_fp8 body,27,7.199277,0.151246,0.169922
Llama-3.3-70B-Instruct,scale,wino_fp8 body,28,6.406726,0.168843,0.156250
Llama-3.3-70B-Instruct,scale,wino_fp8 body,29,8.449154,0.303480,0.204102
Llama-3.3-70B-Instruct,scale,wino_fp8 body,30,9.234196,0.144779,0.174805
Llama-3.3-70B-Instruct,scale,wino_fp8 body,31,9.345828,0.212988,0.208008
Llama-3.3-70B-Instruct,scale,stras_fp8 all,0,3.810586,0.062467,0.082031
Llama-3.3-70B-Instruct,scale,stras_fp8 all,1,3.566073,0.254342,0.135742
Llama-3.3-70B-Instruct,scale,stras_fp8 all,2,3.651054,0.317365,0.201172
Llama-3.3-70B-Instruct,scale,stras_fp8 all,3,4.066753,0.344012,0.208984
Llama-3.3-70B-Instruct,scale,stras_fp8 all,4,3.814492,0.347249,0.193359
Llama-3.3-70B-Instruct,scale,stras_fp8 all,5,4.626992,0.311918,0.191406
Llama-3.3-70B-Instruct,scale,stras_fp8 all,6,5.221884,0.184562,0.155273
Llama-3.3-70B-Instruct,scale,stras_fp8 all,7,4.636773,0.063863,0.109375
Llama-3.3-70B-Instruct,scale,stras_fp8 all,8,5.847059,0.069072,0.121094
Llama-3.3-70B-Instruct,scale,stras_fp8 all,9,3.850940,0.122250,0.113281
Llama-3.3-70B-Instruct,scale,stras_fp8 all,10,4.400711,0.096628,0.105469
Llama-3.3-70B-Instruct,scale,stras_fp8 all,11,2.573661,0.166979,0.115234
Llama-3.3-70B-Instruct,scale,stras_fp8 all,12,2.494896,0.162866,0.113281
Llama-3.3-70B-Instruct,scale,stras_fp8 all,13,4.001417,0.129642,0.126953
Llama-3.3-70B-Instruct,scale,stras_fp8 all,14,4.608889,0.114805,0.129883
Llama-3.3-70B-Instruct,scale,stras_fp8 all,15,5.263765,0.097057,0.105469
Llama-3.3-70B-Instruct,scale,stras_fp8 all,16,5.804084,0.129891,0.162109
Llama-3.3-70B-Instruct,scale,stras_fp8 all,17,7.105443,0.084825,0.134766
Llama-3.3-70B-Instruct,scale,stras_fp8 all,18,5.946075,0.056455,0.106445
Llama-3.3-70B-Instruct,scale,stras_fp8 all,19,6.230397,0.057484,0.111328
Llama-3.3-70B-Instruct,scale,stras_fp8 all,20,5.906422,0.080951,0.124023
Llama-3.3-70B-Instruct,scale,stras_fp8 all,21,5.638339,0.058951,0.111328
Llama-3.3-70B-Instruct,scale,stras_fp8 all,22,10.923343,0.057438,0.115234
Llama-3.3-70B-Instruct,scale,stras_fp8 all,23,3.015212,0.310684,0.172852
Llama-3.3-70B-Instruct,scale,stras_fp8 all,24,4.816393,0.172608,0.142578
Llama-3.3-70B-Instruct,scale,stras_fp8 all,25,6.957894,0.068814,0.106445
Llama-3.3-70B-Instruct,scale,stras_fp8 all,26,8.143336,0.079226,0.121094
