model,mode,arm,chunk_id,ppl,kl,flip
Qwen2.5-72B-Instruct,scale,wino_fp8 all,25,4.171067,0.301199,0.203125
Qwen2.5-72B-Instruct,scale,wino_fp8 all,26,6.888275,0.127153,0.166016
Qwen2.5-72B-Instruct,scale,wino_fp8 all,27,6.427015,0.153571,0.168945
Qwen2.5-72B-Instruct,scale,wino_fp8 all,28,5.601077,0.149201,0.171875
Qwen2.5-72B-Instruct,scale,wino_fp8 all,29,5.702773,0.186081,0.164062
Qwen2.5-72B-Instruct,scale,wino_fp8 all,30,5.035267,0.252351,0.182617
Qwen2.5-72B-Instruct,scale,wino_fp8 all,31,7.189217,0.247391,0.209961
Qwen2.5-72B-Instruct,scale,wino_fp8 body,0,4.743271,0.068538,0.091797
Qwen2.5-72B-Instruct,scale,wino_fp8 body,1,4.293833,0.493331,0.183594
Qwen2.5-72B-Instruct,scale,wino_fp8 body,2,2.792146,0.573889,0.193359
Qwen2.5-72B-Instruct,scale,wino_fp8 body,3,2.695241,0.448556,0.162109
Qwen2.5-72B-Instruct,scale,wino_fp8 body,4,3.837993,0.713989,0.230469
Qwen2.5-72B-Instruct,scale,wino_fp8 body,5,3.102174,0.630220,0.213867
Qwen2.5-72B-Instruct,scale,wino_fp8 body,6,5.175144,0.474757,0.222656
Qwen2.5-72B-Instruct,scale,wino_fp8 body,7,8.425805,0.143990,0.137695
Qwen2.5-72B-Instruct,scale,wino_fp8 body,8,5.425312,0.131822,0.137695
Qwen2.5-72B-Instruct,scale,wino_fp8 body,9,7.204399,0.446687,0.217773
Qwen2.5-72B-Instruct,scale,wino_fp8 body,10,5.018855,0.120736,0.100586
Qwen2.5-72B-Instruct,scale,wino_fp8 body,11,2.752657,0.094536,0.100586
Qwen2.5-72B-Instruct,scale,wino_fp8 body,12,2.864613,0.102865,0.106445
Qwen2.5-72B-Instruct,scale,wino_fp8 body,13,2.511834,0.191645,0.109375
Qwen2.5-72B-Instruct,scale,wino_fp8 body,14,4.437220,0.097146,0.103516
Qwen2.5-72B-Instruct,scale,wino_fp8 body,15,5.439314,0.106979,0.109375
Qwen2.5-72B-Instruct,scale,wino_fp8 body,16,4.980544,0.121146,0.130859
Qwen2.5-72B-Instruct,scale,wino_fp8 body,17,6.777505,0.124419,0.166992
Qwen2.5-72B-Instruct,scale,wino_fp8 body,18,7.929531,0.147595,0.166016
Qwen2.5-72B-Instruct,scale,wino_fp8 body,19,6.968757,0.125703,0.133789
Qwen2.5-72B-Instruct,scale,wino_fp8 body,20,7.202647,0.147681,0.158203
Qwen2.5-72B-Instruct,scale,wino_fp8 body,21,7.777619,0.137906,0.147461
Qwen2.5-72B-Instruct,scale,wino_fp8 body,22,5.941092,0.137685,0.138672
Qwen2.5-72B-Instruct,scale,wino_fp8 body,23,9.266808,0.094614,0.128906
Qwen2.5-72B-Instruct,scale,wino_fp8 body,24,5.193087,0.480235,0.218750
Qwen2.5-72B-Instruct,scale,wino_fp8 body,25,4.109601,0.289566,0.194336
Qwen2.5-72B-Instruct,scale,wino_fp8 body,26,6.770651,0.112528,0.145508
Qwen2.5-72B-Instruct,scale,wino_fp8 body,27,6.303206,0.138127,0.159180
Qwen2.5-72B-Instruct,scale,wino_fp8 body,28,5.505747,0.137592,0.156250
Qwen2.5-72B-Instruct,scale,wino_fp8 body,29,5.638858,0.175027,0.151367
Qwen2.5-72B-Instruct,scale,wino_fp8 body,30,4.981581,0.245308,0.179688
Qwen2.5-72B-Instruct,scale,wino_fp8 body,31,7.084901,0.234780,0.195312
Qwen2.5-72B-Instruct,scale,stras_fp8 all,0,4.656651,0.047429,0.096680
Qwen2.5-72B-Instruct,scale,stras_fp8 all,1,3.432985,0.224844,0.113281
Qwen2.5-72B-Instruct,scale,stras_fp8 all,2,1.971979,0.177773,0.079102
Qwen2.5-72B-Instruct,scale,stras_fp8 all,3,2.279280,0.251111,0.138672
Qwen2.5-72B-Instruct,scale,stras_fp8 all,4,2.658694,0.331744,0.148438
Qwen2.5-72B-Instruct,scale,stras_fp8 all,5,2.649277,0.439309,0.171875
Qwen2.5-72B-Instruct,scale,stras_fp8 all,6,4.227195,0.177131,0.141602
Qwen2.5-72B-Instruct,scale,stras_fp8 all,7,7.885157,0.071739,0.130859
Qwen2.5-72B-Instruct,scale,stras_fp8 all,8,5.236257,0.077454,0.109375
Qwen2.5-72B-Instruct,scale,stras_fp8 all,9,6.155647,0.266181,0.188477
Qwen2.5-72B-Instruct,scale,stras_fp8 all,10,4.807118,0.065450,0.095703
Qwen2.5-72B-Instruct,scale,stras_fp8 all,11,2.723546,0.056184,0.078125
Qwen2.5-72B-Instruct,scale,stras_fp8 all,12,2.830616,0.078469,0.084961
Qwen2.5-72B-Instruct,scale,stras_fp8 all,13,2.524883,0.152528,0.086914
Qwen2.5-72B-Instruct,scale,stras_fp8 all,14,4.440966,0.061252,0.092773
Qwen2.5-72B-Instruct,scale,stras_fp8 all,15,5.337415,0.084075,0.101562
Qwen2.5-72B-Instruct,scale,stras_fp8 all,16,4.815482,0.080627,0.120117
Qwen2.5-72B-Instruct,scale,stras_fp8 all,17,6.532983,0.087194,0.163086
Qwen2.5-72B-Instruct,scale,stras_fp8 all,18,7.806779,0.098312,0.150391
Qwen2.5-72B-Instruct,scale,stras_fp8 all,19,6.928399,0.102389,0.119141
Qwen2.5-72B-Instruct,scale,stras_fp8 all,20,6.842356,0.091460,0.131836
Qwen2.5-72B-Instruct,scale,stras_fp8 all,21,7.511521,0.077396,0.128906
Qwen2.5-72B-Instruct,scale,stras_fp8 all,22,5.988843,0.092244,0.129883
Qwen2.5-72B-Instruct,scale,stras_fp8 all,23,9.022781,0.068355,0.151367
Qwen2.5-72B-Instruct,scale,stras_fp8 all,24,4.080081,0.254444,0.152344
Qwen2.5-72B-Instruct,scale,stras_fp8 all,25,3.702171,0.155902,0.133789
Qwen2.5-72B-Instruct,scale,stras_fp8 all,26,6.974345,0.075553,0.125000
Qwen2.5-72B-Instruct,scale,stras_fp8 all,27,5.957173,0.080197,0.137695
Qwen2.5-72B-Instruct,scale,stras_fp8 all,28,5.370392,0.097660,0.129883
Qwen2.5-72B-Instruct,scale,stras_fp8 all,29,5.483083,0.116043,0.145508
Qwen2.5-72B-Instruct,scale,stras_fp8 all,30,4.550911,0.152641,0.139648
Qwen2.5-72B-Instruct,scale,stras_fp8 all,31,6.084700,0.094886,0.138672
Qwen2.5-72B-Instruct,scale,stras_fp8 body,0,4.598463,0.034419,0.076172
Qwen2.5-72B-Instruct,scale,stras_fp8 body,1,3.411711,0.217042,0.099609
Qwen2.5-72B-Instruct,scale,stras_fp8 body,2,1.971028,0.174568,0.078125
Qwen2.5-72B-Instruct,scale,stras_fp8 body,3,2.286444,0.246516,0.131836
Qwen2.5-72B-Instruct,scale,stras_fp8 body,4,2.652269,0.330907,0.142578
Qwen2.5-72B-Instruct,scale,stras_fp8 body,5,2.640170,0.436264,0.169922
Qwen2.5-72B-Instruct,scale,stras_fp8 body,6,4.187201,0.169628,0.125977
Qwen2.5-72B-Instruct,scale,stras_fp8 body,7,7.763846,0.056482,0.096680
Qwen2.5-72B-Instruct,scale,stras_fp8 body,8,5.207586,0.067296,0.102539
Qwen2.5-72B-Instruct,scale,stras_fp8 body,9,6.128063,0.258071,0.178711
Qwen2.5-72B-Instruct,scale,stras_fp8 body,10,4.784522,0.055949,0.070312
Qwen2.5-72B-Instruct,scale,stras_fp8 body,11,2.707859,0.050063,0.078125
Qwen2.5-72B-Instruct,scale,stras_fp8 body,12,2.805672,0.071164,0.070312
Qwen2.5-72B-Instruct,scale,stras_fp8 body,13,2.521763,0.148455,0.084961
Qwen2.5-72B-Instruct,scale,stras_fp8 body,14,4.426541,0.049502,0.074219
Qwen2.5-72B-Instruct,scale,stras_fp8 body,15,5.277148,0.073336,0.090820
Qwen2.5-72B-Instruct,scale,stras_fp8 body,16,4.748262,0.070811,0.112305
Qwen2.5-72B-Instruct,scale,stras_fp8 body,17,6.444649,0.074350,0.138672
Qwen2.5-72B-Instruct,scale,stras_fp8 body,18,7.675660,0.085640,0.108398
Qwen2.5-72B-Instruct,scale,stras_fp8 body,19,6.898911,0.091002,0.098633
Qwen2.5-72B-Instruct,scale,stras_fp8 body,20,6.758521,0.078844,0.111328
Qwen2.5-72B-Instruct,scale,stras_fp8 body,21,7.412409,0.065368,0.094727
Qwen2.5-72B-Instruct,scale,stras_fp8 body,22,5.917948,0.079715,0.106445
Qwen2.5-72B-Instruct,scale,stras_fp8 body,23,8.943133,0.051236,0.107422
Qwen2.5-72B-Instruct,scale,stras_fp8 body,24,4.073369,0.245397,0.137695
Qwen2.5-72B-Instruct,scale,stras_fp8 body,25,3.691933,0.147817,0.127930
Qwen2.5-72B-Instruct,scale,stras_fp8 body,26,6.818956,0.062080,0.099609
Qwen2.5-72B-Instruct,scale,stras_fp8 body,27,5.931209,0.068620,0.117188
Qwen2.5-72B-Instruct,scale,stras_fp8 body,28,5.318752,0.088887,0.113281
Qwen2.5-72B-Instruct,scale,stras_fp8 body,29,5.415604,0.106009,0.129883
Qwen2.5-72B-Instruct,scale,stras_fp8 body,30,4.500017,0.141595,0.136719
Qwen2.5-72B-Instruct,scale,stras_fp8 body,31,6.011042,0.083112,0.119141
Qwen2.5-72B-Instruct,scale,acc_fp8 all,0,4.699113,0.031952,0.079102
Qwen2.5-72B-Instruct,scale,acc_fp8 all,1,3.066436,0.101693,0.069336
Qwen2.5-72B-Instruct,scale,acc_fp8 all,2,1.812202,0.108646,0.056641
Qwen2.5-72B-Instruct,scale,acc_fp8 all,3,1.983502,0.112519,0.085938
Qwen2.5-72B-Instruct,scale,acc_fp8 all,4,2.115992,0.135805,0.092773
Qwen2.5-72B-Instruct,scale,acc_fp8 all,5,2.164366,0.186782,0.105469
Qwen2.5-72B-Instruct,scale,acc_fp8 all,6,4.198118,0.100027,0.113281
Qwen2.5-72B-Instruct,scale,acc_fp8 all,7,7.626382,0.044415,0.096680
Qwen2.5-72B-Instruct,scale,acc_fp8 all,8,5.177563,0.039301,0.098633
Qwen2.5-72B-Instruct,scale,acc_fp8 all,9,5.210474,0.079514,0.095703
Qwen2.5-72B-Instruct,scale,acc_fp8 all,10,4.738296,0.051720,0.089844
Qwen2.5-72B-Instruct,scale,acc_fp8 all,11,2.624425,0.034470,0.065430
